

9291482088;2009-09-15;BAZAN;BAZAN ZIEL-GORA LISIA 53A                   
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956004228 |HE Herbata Zielona                        |   9.00|sztuka| |
|  2|5900956004266 |HE Zielona Lisciasta                      |   6.00|sztuka| |
|  3|5900956000640 |HO Dzika Roza                             |   6.00|sztuka| |
|  4|5900956000633 |HO Malina                                 |   6.00|sztuka| |
|  5|5900956003146 |HO Zurawina                               |   6.00|sztuka| |
