

9730272307;2009-09-15;REGINAZIMNA;REGINA ZIMNA ZIEL-GORA MIESZKA I 01-sty     
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956100647 |OS Aronia                                 |   8.00|sztuka| |
|  2|5900956100630 |OS Wisnia                                 |   8.00|sztuka| |
