

9290000696;2009-09-15;MIRA;MIRA ZIEL-GORA PODGORNA 93                  
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956004235 |HE Herbata Zielona Cytrynowa              |   9.00|sztuka| |
|  2|5900956004266 |HE Zielona Lisciasta                      |   6.00|sztuka| |
|  3|5900956000701 |HO Kwiat Hibiskusa                        |   6.00|sztuka| |
|  4|5900956102429 |OS Malina z Cytryna                       |   8.00|sztuka| |
|  5|5900956102443 |OS Malina z Zurawina                      |   8.00|sztuka| |
|  6|5900956002354 |ZP Pokrzywa                               |   6.00|sztuka| |
