

9290093545;2009-09-15;SPOLEM;SPOLEM ZIEL-GORA AL. WOJ..POLSKIEGO 86      
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956100647 |OS Aronia                                 |   8.00|sztuka| |
|  2|5900956100593 |OS Malina                                 |   8.00|sztuka| |
|  3|5900956002323 |ZP Melisa                                 |   6.00|sztuka| |
|  4|5900956002309 |ZP Mieta                                  |   6.00|sztuka| |
