

0000000003;2009-09-15;REMIGIUSZJARCZYK;REMIGIUSZ JARCZYK ZIEL -GORA WYSZYNSKIEGO 34
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956004075 |HE Malina                                 |   9.00|sztuka| |
|  2|5900956004105 |HE Mieta                                  |   9.00|sztuka| |
|  3|5900956004174 |HE Owoce Lasu                             |   9.00|sztuka| |
|  4|5900956102429 |OS Malina z Cytryna                       |   8.00|sztuka| |
|  5|5900956100609 |OS Malina z melisa                        |   8.00|sztuka| |
|  6|5900956101330 |OS Premium Zurawina                       |   8.00|sztuka| |
