

9290009973;2009-09-15;TSTKARMAG;TST KARMAG RACULA GLOGOWSKA 55              
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956003627 |HO Malina z Dzika Roza                    |   6.00|sztuka| |
|  2|5900956002637 |HO Truskawka z Wanilia                    |   6.00|sztuka| |
|  3|5900956003146 |HO Zurawina                               |   6.00|sztuka| |
|  4|5900956100593 |OS Malina                                 |   8.00|sztuka| |
|  5|5900956100609 |OS Malina z melisa                        |   8.00|sztuka| |
|  6|5900956102443 |OS Malina z Zurawina                      |   8.00|sztuka| |
