

6760016731;2009-09-15;ALMA;ALMA ZIELONA GORA WROCLAWSKA 17             
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956000633 |HO Malina                                 |  12.00|sztuka| |
|  2|5900956003627 |HO Malina z Dzika Roza                    |  12.00|sztuka| |
|  3|5900956003634 |HO Malina z Zurawina                      |  12.00|sztuka| |
|  4|5900956100593 |OS Malina                                 |  24.00|sztuka| |
|  5|5900956102436 |OS Malina z Dzika Roza                    |  16.00|sztuka| |
|  6|5900956100609 |OS Malina z melisa                        |  16.00|sztuka| |
|  7|5900956100630 |OS Wisnia                                 |   8.00|sztuka| |
