

9290009973;2009-09-15;TSTKARMAG;TST KARMAG RACULA GLOGOWSKA 55              
|Lp.|EAN           |NAZWA                                     |ILOSC  |JM    |G|
|  1|5900956102962 |GU Green Up Tropikalny 250ml              |  24.00|sztuka| |
|  2|5900956100616 |OS Malina z lipa                          |   8.00|sztuka| |
|  3|5900956102443 |OS Malina z Zurawina                      |   8.00|sztuka| |
|  4|5900956101231 |OS Premium Malina z Kwiatem Lipy          |   8.00|sztuka| |
|  5|5900956102450 |OS Zurawina z Cytryna                     |   8.00|sztuka| |
|  6|5900956002309 |ZP Mieta                                  |   6.00|sztuka| |
